POSTNR,POSTSTAD,POSTNR- OG STAD,BRUKSOMRÅDE,FOLKETAL,BYDEL,KOMMNR,KOMMUNE,FYLKE,LAT,LON,DATAKVALITET,DATAKVALITETSFORKLARING,SIST OPPDATERT
5871,Bergen (ikkje i bruk),5871 BERGEN (ikkje i bruk),Postboksar,,,1201,Bergen,Hordaland,60.4686,5.3361,2,Koordinatane er retta av Erik Bolstad,27/01/2016 16:30
5872,Bergen,5872 BERGEN,Postboksar,,,1201,Bergen,Hordaland,60.4647,5.3217,1,Koordinatane gjeld postkontoret,0000-00-00 00:00:00
5873,Bergen,5873 BERGEN,Postboksar,,,1201,Bergen,Hordaland,60.46466,5.32168,1,Koordinatane gjeld postkontoret,11/10/2011 09:55
5874,BERGEN (ikkje i bruk),5874 BERGEN (ikkje i bruk),Usikker,,,1201,Bergen,Hordaland,60.3992,5.3227,6,Usikker plassering,03/10/2018 21:28
5875,Årdalstangen (ikkje i bruk),5875 ÅRDALSTANGEN (ikkje i bruk),Historisk,,,1424,Årdal,Sogn og Fjordane,61.2358,7.70345,6,Usikker plassering,04/10/2018 02:10
5876,Bergen,5876 BERGEN,Postboksar,,,1201,Bergen,Hordaland,60.44374,5.3258,1,Koordinatane gjeld postkontoret,11/10/2011 09:55
5877,Bergen,5877 BERGEN,Postboksar,,,1201,Bergen,Hordaland,60.50904,5.34736,1,Koordinatane gjeld postkontoret,11/10/2011 09:55
5878,Bergen,5878 BERGEN,Postboksar,,,1201,Bergen,Hordaland,60.48596,5.27157,1,Koordinatane gjeld postkontoret,11/10/2011 09:55
5879,Bergen,5879 BERGEN,Postboksar,,,1201,Bergen,Hordaland,60.47362,5.33608,1,Koordinatane gjeld postkontoret,11/10/2011 09:55
5880,Kaupanger (ikkje i bruk),5880 KAUPANGER (ikkje i bruk),Historisk,,,1420,Sogndal,Sogn og Fjordane,61.19165,7.22032,6,Usikker plassering,04/10/2018 02:10
5881,Bergen,5881 BERGEN,Postboksar,,,1201,Bergen,Hordaland,60.36322,5.23362,1,Koordinatane gjeld postkontoret,11/10/2011 09:55
5882,Bergen (ikkje i bruk),5882 BERGEN (ikkje i bruk),Postboksar,,,1201,Bergen,Hordaland,60.3632,5.2336,1,Koordinatane gjeld postkontoret,27/01/2016 16:30
5883,Bergen (ikkje i bruk),5883 BERGEN (ikkje i bruk),Postboksar,,,1201,Bergen,Hordaland,60.3765,5.2057,2,Koordinatane er retta av Erik Bolstad,03/10/2018 16:30
5884,Bergen,5884 BERGEN,Postboksar,,,1201,Bergen,Hordaland,60.38227,5.2192,1,Koordinatane gjeld postkontoret,11/10/2011 09:55
5886,Bergen,5886 BERGEN,Postboksar,,,1201,Bergen,Hordaland,60.34134,5.22538,1,Koordinatane gjeld postkontoret,11/10/2011 09:55
5887,Bergen,5887 BERGEN,Postboksar,,,1201,Bergen,Hordaland,60.37523,5.45653,1,Koordinatane gjeld postkontoret,03/10/2018 20:24
5888,Bergen,5888 BERGEN,Postboksar,,,1201,Bergen,Hordaland,60.42132,5.46502,1,Koordinatane gjeld postkontoret,11/10/2011 09:55
5889,Bergen,5889 BERGEN,Postboksar,,,1201,Bergen,Hordaland,60.46009,5.43733,1,Koordinatane gjeld postkontoret,11/10/2011 09:55
